tile_ID,geometry,position
71,"POLYGON ((-76.99403076022327 38.86161324911378, -76.99403076022327 38.875601582785485, -76.97606445454089 38.875601582785485, -76.97606445454089 38.86161324911378, -76.99403076022327 38.86161324911378))","[6, 4]"
72,"POLYGON ((-76.99403076022327 38.875601582785485, -76.99403076022327 38.88958716372352, -76.97606445454089 38.88958716372352, -76.97606445454089 38.875601582785485, -76.99403076022327 38.875601582785485))","[6, 5]"
73,"POLYGON ((-76.99403076022327 38.88958716372352, -76.99403076022327 38.90356999163647, -76.97606445454089 38.90356999163647, -76.97606445454089 38.88958716372352, -76.99403076022327 38.88958716372352))","[6, 6]"
74,"POLYGON ((-76.99403076022327 38.90356999163647, -76.99403076022327 38.917550066233616, -76.97606445454089 38.917550066233616, -76.97606445454089 38.90356999163647, -76.99403076022327 38.90356999163647))","[6, 7]"
75,"POLYGON ((-76.99403076022327 38.917550066233616, -76.99403076022327 38.93152738722498, -76.97606445454089 38.93152738722498, -76.97606445454089 38.917550066233616, -76.99403076022327 38.917550066233616))","[6, 8]"
76,"POLYGON ((-76.99403076022327 38.93152738722498, -76.99403076022327 38.94550195432127, -76.97606445454089 38.94550195432127, -76.97606445454089 38.93152738722498, -76.99403076022327 38.93152738722498))","[6, 9]"
77,"POLYGON ((-76.99403076022327 38.94550195432127, -76.99403076022327 38.959473767233916, -76.97606445454089 38.959473767233916, -76.97606445454089 38.94550195432127, -76.99403076022327 38.94550195432127))","[6, 10]"
78,"POLYGON ((-76.97606445454089 38.833628324738626, -76.97606445454089 38.847622163000544, -76.9580981488585 38.847622163000544, -76.9580981488585 38.833628324738626, -76.97606445454089 38.833628324738626))","[7, 2]"
79,"POLYGON ((-76.97606445454089 38.847622163000544, -76.97606445454089 38.86161324911378, -76.9580981488585 38.86161324911378, -76.9580981488585 38.847622163000544, -76.97606445454089 38.847622163000544))","[7, 3]"
80,"POLYGON ((-76.97606445454089 38.86161324911378, -76.97606445454089 38.875601582785485, -76.9580981488585 38.875601582785485, -76.9580981488585 38.86161324911378, -76.97606445454089 38.86161324911378))","[7, 4]"
81,"POLYGON ((-76.97606445454089 38.875601582785485, -76.97606445454089 38.88958716372352, -76.9580981488585 38.88958716372352, -76.9580981488585 38.875601582785485, -76.97606445454089 38.875601582785485))","[7, 5]"
82,"POLYGON ((-76.97606445454089 38.88958716372352, -76.97606445454089 38.90356999163647, -76.9580981488585 38.90356999163647, -76.9580981488585 38.88958716372352, -76.97606445454089 38.88958716372352))","[7, 6]"
83,"POLYGON ((-76.97606445454089 38.90356999163647, -76.97606445454089 38.917550066233616, -76.9580981488585 38.917550066233616, -76.9580981488585 38.90356999163647, -76.97606445454089 38.90356999163647))","[7, 7]"
84,"POLYGON ((-76.97606445454089 38.917550066233616, -76.97606445454089 38.93152738722498, -76.9580981488585 38.93152738722498, -76.9580981488585 38.917550066233616, -76.97606445454089 38.917550066233616))","[7, 8]"
85,"POLYGON ((-76.97606445454089 38.93152738722498, -76.97606445454089 38.94550195432127, -76.9580981488585 38.94550195432127, -76.9580981488585 38.93152738722498, -76.97606445454089 38.93152738722498))","[7, 9]"
86,"POLYGON ((-76.9580981488585 38.847622163000544, -76.9580981488585 38.86161324911378, -76.94013184317609 38.86161324911378, -76.94013184317609 38.847622163000544, -76.9580981488585 38.847622163000544))","[8, 3]"
