tile_ID,geometry,position
74,"POLYGON ((-73.96544428295282 40.76104612878771, -73.96544428295282 40.76784997194176, -73.95646113011162 40.76784997194176, -73.95646113011162 40.76104612878771, -73.96544428295282 40.76104612878771))","[6, 9]"
75,"POLYGON ((-73.96544428295282 40.76784997194176, -73.96544428295282 40.7746531185518, -73.95646113011162 40.7746531185518, -73.95646113011162 40.76784997194176, -73.96544428295282 40.76784997194176))","[6, 10]"
76,"POLYGON ((-73.96544428295282 40.7746531185518, -73.96544428295282 40.78145556859322, -73.95646113011162 40.78145556859322, -73.95646113011162 40.7746531185518, -73.96544428295282 40.7746531185518))","[6, 11]"
77,"POLYGON ((-73.96544428295282 40.78145556859322, -73.96544428295282 40.788257322041495, -73.95646113011162 40.788257322041495, -73.95646113011162 40.78145556859322, -73.96544428295282 40.78145556859322))","[6, 12]"
78,"POLYGON ((-73.96544428295282 40.788257322041495, -73.96544428295282 40.7950583788721, -73.95646113011162 40.7950583788721, -73.95646113011162 40.788257322041495, -73.96544428295282 40.788257322041495))","[6, 13]"
79,"POLYGON ((-73.96544428295282 40.7950583788721, -73.96544428295282 40.80185873906056, -73.95646113011162 40.80185873906056, -73.95646113011162 40.7950583788721, -73.96544428295282 40.7950583788721))","[6, 14]"
80,"POLYGON ((-73.96544428295282 40.80185873906056, -73.96544428295282 40.80865840258246, -73.95646113011162 40.80865840258246, -73.95646113011162 40.80185873906056, -73.96544428295282 40.80185873906056))","[6, 15]"
81,"POLYGON ((-73.96544428295282 40.80865840258246, -73.96544428295282 40.815457369413394, -73.95646113011162 40.815457369413394, -73.95646113011162 40.80865840258246, -73.96544428295282 40.80865840258246))","[6, 16]"
82,"POLYGON ((-73.96544428295282 40.815457369413394, -73.96544428295282 40.822255639529025, -73.95646113011162 40.822255639529025, -73.95646113011162 40.815457369413394, -73.96544428295282 40.815457369413394))","[6, 17]"
83,"POLYGON ((-73.96544428295282 40.822255639529025, -73.96544428295282 40.82905321290506, -73.95646113011162 40.82905321290506, -73.95646113011162 40.822255639529025, -73.96544428295282 40.822255639529025))","[6, 18]"
84,"POLYGON ((-73.95646113011162 40.754241589114294, -73.95646113011162 40.76104612878771, -73.94747797727042 40.76104612878771, -73.94747797727042 40.754241589114294, -73.95646113011162 40.754241589114294))","[7, 8]"
85,"POLYGON ((-73.95646113011162 40.76104612878771, -73.95646113011162 40.76784997194176, -73.94747797727042 40.76784997194176, -73.94747797727042 40.76104612878771, -73.95646113011162 40.76104612878771))","[7, 9]"
86,"POLYGON ((-73.95646113011162 40.76784997194176, -73.95646113011162 40.7746531185518, -73.94747797727042 40.7746531185518, -73.94747797727042 40.76784997194176, -73.95646113011162 40.76784997194176))","[7, 10]"
87,"POLYGON ((-73.95646113011162 40.7746531185518, -73.95646113011162 40.78145556859322, -73.94747797727042 40.78145556859322, -73.94747797727042 40.7746531185518, -73.95646113011162 40.7746531185518))","[7, 11]"
88,"POLYGON ((-73.95646113011162 40.78145556859322, -73.95646113011162 40.788257322041495, -73.94747797727042 40.788257322041495, -73.94747797727042 40.78145556859322, -73.95646113011162 40.78145556859322))","[7, 12]"
89,"POLYGON ((-73.95646113011162 40.788257322041495, -73.95646113011162 40.7950583788721, -73.94747797727042 40.7950583788721, -73.94747797727042 40.788257322041495, -73.95646113011162 40.788257322041495))","[7, 13]"
90,"POLYGON ((-73.95646113011162 40.7950583788721, -73.95646113011162 40.80185873906056, -73.94747797727042 40.80185873906056, -73.94747797727042 40.7950583788721, -73.95646113011162 40.7950583788721))","[7, 14]"
91,"POLYGON ((-73.95646113011162 40.80185873906056, -73.95646113011162 40.80865840258246, -73.94747797727042 40.80865840258246, -73.94747797727042 40.80185873906056, -73.95646113011162 40.80185873906056))","[7, 15]"
92,"POLYGON ((-73.95646113011162 40.80865840258246, -73.95646113011162 40.815457369413394, -73.94747797727042 40.815457369413394, -73.94747797727042 40.80865840258246, -73.95646113011162 40.80865840258246))","[7, 16]"
93,"POLYGON ((-73.95646113011162 40.815457369413394, -73.95646113011162 40.822255639529025, -73.94747797727042 40.822255639529025, -73.94747797727042 40.815457369413394, -73.95646113011162 40.815457369413394))","[7, 17]"
