tile_ID,geometry,position
45,"POLYGON ((-73.8546011221462 40.885318896286314, -73.8546011221462 40.936235198190374, -73.78722747583724 40.936235198190374, -73.78722747583724 40.885318896286314, -73.8546011221462 40.885318896286314))","[6, 8]"
46,"POLYGON ((-73.78722747583724 40.527807643727705, -73.78722747583724 40.578998157095846, -73.71985382952829 40.578998157095846, -73.71985382952829 40.527807643727705, -73.78722747583724 40.527807643727705))","[7, 1]"
47,"POLYGON ((-73.78722747583724 40.578998157095846, -73.78722747583724 40.63014952916199, -73.71985382952829 40.63014952916199, -73.71985382952829 40.578998157095846, -73.78722747583724 40.578998157095846))","[7, 2]"
48,"POLYGON ((-73.78722747583724 40.63014952916199, -73.78722747583724 40.68126174911684, -73.71985382952829 40.68126174911684, -73.71985382952829 40.63014952916199, -73.78722747583724 40.63014952916199))","[7, 3]"
49,"POLYGON ((-73.78722747583724 40.68126174911684, -73.78722747583724 40.73233480628412, -73.71985382952829 40.73233480628412, -73.71985382952829 40.68126174911684, -73.78722747583724 40.68126174911684))","[7, 4]"
50,"POLYGON ((-73.78722747583724 40.73233480628412, -73.78722747583724 40.7833686901202, -73.71985382952829 40.7833686901202, -73.71985382952829 40.73233480628412, -73.78722747583724 40.73233480628412))","[7, 5]"
51,"POLYGON ((-73.78722747583724 40.7833686901202, -73.78722747583724 40.834363390213916, -73.71985382952829 40.834363390213916, -73.71985382952829 40.7833686901202, -73.78722747583724 40.7833686901202))","[7, 6]"
52,"POLYGON ((-73.78722747583724 40.834363390213916, -73.78722747583724 40.885318896286314, -73.71985382952829 40.885318896286314, -73.71985382952829 40.834363390213916, -73.78722747583724 40.834363390213916))","[7, 7]"
53,"POLYGON ((-73.71985382952829 40.68126174911684, -73.71985382952829 40.73233480628412, -73.65248018321932 40.73233480628412, -73.65248018321932 40.68126174911684, -73.71985382952829 40.68126174911684))","[8, 4]"
54,"POLYGON ((-73.71985382952829 40.73233480628412, -73.71985382952829 40.7833686901202, -73.65248018321932 40.7833686901202, -73.65248018321932 40.73233480628412, -73.71985382952829 40.73233480628412))","[8, 5]"
